# 11 Data from CRYSTAL

#    Volume           Energy

     124.512598   -1.883021169762E+03
     125.884132   -1.883021538465E+03
     127.054446   -1.883021637676E+03
     127.265886   -1.883021634389E+03
     128.656314   -1.883021467688E+03
     130.054927   -1.883021047238E+03
     131.463313   -1.883020383266E+03
     132.880152   -1.883019485656E+03
     134.309582   -1.883018362234E+03
     135.750582   -1.883017021835E+03
     137.200672   -1.883015473786E+03

